State,Date,Vehicle Category,Registrations
KA,2016-05-01,FOUR WHEELER (Invalid Carriage),0
KA,2016-05-01,HEAVY GOODS VEHICLE,0
KA,2016-05-01,HEAVY MOTOR VEHICLE,0
KA,2016-05-01,HEAVY PASSENGER VEHICLE,0
KA,2016-05-01,LIGHT GOODS VEHICLE,0
KA,2016-05-01,LIGHT MOTOR VEHICLE,13
KA,2016-05-01,LIGHT PASSENGER VEHICLE,0
KA,2016-05-01,MEDIUM GOODS VEHICLE,0
KA,2016-05-01,MEDIUM MOTOR VEHICLE,0
KA,2016-05-01,MEDIUM PASSENGER VEHICLE,0
KA,2016-05-01,OTHER THAN MENTIONED ABOVE,0
KA,2016-05-01,THREE WHEELER (Invalid Carriage),0
KA,2016-05-01,THREE WHEELER(NT),0
KA,2016-05-01,THREE WHEELER(T),4
KA,2016-05-01,TWO WHEELER (Invalid Carriage),0
KA,2016-05-01,TWO WHEELER(NT),1
KA,2016-05-01,TWO WHEELER(T),0
KA,2016-06-01,FOUR WHEELER (Invalid Carriage),0
KA,2016-06-01,HEAVY GOODS VEHICLE,0
KA,2016-06-01,HEAVY MOTOR VEHICLE,0
KA,2016-06-01,HEAVY PASSENGER VEHICLE,0
KA,2016-06-01,LIGHT GOODS VEHICLE,0
KA,2016-06-01,LIGHT MOTOR VEHICLE,12
KA,2016-06-01,LIGHT PASSENGER VEHICLE,0
KA,2016-06-01,MEDIUM GOODS VEHICLE,0
KA,2016-06-01,MEDIUM MOTOR VEHICLE,0
KA,2016-06-01,MEDIUM PASSENGER VEHICLE,0
KA,2016-06-01,OTHER THAN MENTIONED ABOVE,0
KA,2016-06-01,THREE WHEELER (Invalid Carriage),0
KA,2016-06-01,THREE WHEELER(NT),0
KA,2016-06-01,THREE WHEELER(T),0
KA,2016-06-01,TWO WHEELER (Invalid Carriage),0
KA,2016-06-01,TWO WHEELER(NT),4
KA,2016-06-01,TWO WHEELER(T),0
KA,2016-07-01,FOUR WHEELER (Invalid Carriage),0
KA,2016-07-01,HEAVY GOODS VEHICLE,0
KA,2016-07-01,HEAVY MOTOR VEHICLE,0
KA,2016-07-01,HEAVY PASSENGER VEHICLE,0
KA,2016-07-01,LIGHT GOODS VEHICLE,0
KA,2016-07-01,LIGHT MOTOR VEHICLE,11
KA,2016-07-01,LIGHT PASSENGER VEHICLE,0
KA,2016-07-01,MEDIUM GOODS VEHICLE,0
KA,2016-07-01,MEDIUM MOTOR VEHICLE,0
KA,2016-07-01,MEDIUM PASSENGER VEHICLE,0
KA,2016-07-01,OTHER THAN MENTIONED ABOVE,0
KA,2016-07-01,THREE WHEELER (Invalid Carriage),0
KA,2016-07-01,THREE WHEELER(NT),0
KA,2016-07-01,THREE WHEELER(T),1
KA,2016-07-01,TWO WHEELER (Invalid Carriage),0
KA,2016-07-01,TWO WHEELER(NT),0
KA,2016-07-01,TWO WHEELER(T),0
KA,2016-08-01,FOUR WHEELER (Invalid Carriage),0
KA,2016-08-01,HEAVY GOODS VEHICLE,0
KA,2016-08-01,HEAVY MOTOR VEHICLE,0
KA,2016-08-01,HEAVY PASSENGER VEHICLE,0
KA,2016-08-01,LIGHT GOODS VEHICLE,0
KA,2016-08-01,LIGHT MOTOR VEHICLE,27
KA,2016-08-01,LIGHT PASSENGER VEHICLE,0
KA,2016-08-01,MEDIUM GOODS VEHICLE,0
KA,2016-08-01,MEDIUM MOTOR VEHICLE,0
KA,2016-08-01,MEDIUM PASSENGER VEHICLE,0
KA,2016-08-01,OTHER THAN MENTIONED ABOVE,0
KA,2016-08-01,THREE WHEELER (Invalid Carriage),0
KA,2016-08-01,THREE WHEELER(NT),0
KA,2016-08-01,THREE WHEELER(T),0
KA,2016-08-01,TWO WHEELER (Invalid Carriage),0
KA,2016-08-01,TWO WHEELER(NT),2
KA,2016-08-01,TWO WHEELER(T),0
KA,2016-09-01,FOUR WHEELER (Invalid Carriage),0
KA,2016-09-01,HEAVY GOODS VEHICLE,0
KA,2016-09-01,HEAVY MOTOR VEHICLE,0
KA,2016-09-01,HEAVY PASSENGER VEHICLE,0
KA,2016-09-01,LIGHT GOODS VEHICLE,0
KA,2016-09-01,LIGHT MOTOR VEHICLE,7
KA,2016-09-01,LIGHT PASSENGER VEHICLE,0
KA,2016-09-01,MEDIUM GOODS VEHICLE,0
KA,2016-09-01,MEDIUM MOTOR VEHICLE,0
KA,2016-09-01,MEDIUM PASSENGER VEHICLE,0
KA,2016-09-01,OTHER THAN MENTIONED ABOVE,0
KA,2016-09-01,THREE WHEELER (Invalid Carriage),0
KA,2016-09-01,THREE WHEELER(NT),0
KA,2016-09-01,THREE WHEELER(T),4
KA,2016-09-01,TWO WHEELER (Invalid Carriage),0
KA,2016-09-01,TWO WHEELER(NT),0
KA,2016-09-01,TWO WHEELER(T),0
KA,2016-10-01,FOUR WHEELER (Invalid Carriage),0
KA,2016-10-01,HEAVY GOODS VEHICLE,0
KA,2016-10-01,HEAVY MOTOR VEHICLE,0
KA,2016-10-01,HEAVY PASSENGER VEHICLE,0
KA,2016-10-01,LIGHT GOODS VEHICLE,0
KA,2016-10-01,LIGHT MOTOR VEHICLE,20
KA,2016-10-01,LIGHT PASSENGER VEHICLE,0
KA,2016-10-01,MEDIUM GOODS VEHICLE,0
KA,2016-10-01,MEDIUM MOTOR VEHICLE,0
KA,2016-10-01,MEDIUM PASSENGER VEHICLE,0
KA,2016-10-01,OTHER THAN MENTIONED ABOVE,0
KA,2016-10-01,THREE WHEELER (Invalid Carriage),0
KA,2016-10-01,THREE WHEELER(NT),0
KA,2016-10-01,THREE WHEELER(T),3
KA,2016-10-01,TWO WHEELER (Invalid Carriage),0
KA,2016-10-01,TWO WHEELER(NT),0
KA,2016-10-01,TWO WHEELER(T),0
KA,2016-11-01,FOUR WHEELER (Invalid Carriage),0
KA,2016-11-01,HEAVY GOODS VEHICLE,0
KA,2016-11-01,HEAVY MOTOR VEHICLE,0
KA,2016-11-01,HEAVY PASSENGER VEHICLE,0
KA,2016-11-01,LIGHT GOODS VEHICLE,0
KA,2016-11-01,LIGHT MOTOR VEHICLE,14
KA,2016-11-01,LIGHT PASSENGER VEHICLE,0
KA,2016-11-01,MEDIUM GOODS VEHICLE,0
KA,2016-11-01,MEDIUM MOTOR VEHICLE,0
KA,2016-11-01,MEDIUM PASSENGER VEHICLE,0
KA,2016-11-01,OTHER THAN MENTIONED ABOVE,0
KA,2016-11-01,THREE WHEELER (Invalid Carriage),0
KA,2016-11-01,THREE WHEELER(NT),0
KA,2016-11-01,THREE WHEELER(T),2
KA,2016-11-01,TWO WHEELER (Invalid Carriage),0
KA,2016-11-01,TWO WHEELER(NT),2
KA,2016-11-01,TWO WHEELER(T),0
KA,2016-12-01,FOUR WHEELER (Invalid Carriage),0
KA,2016-12-01,HEAVY GOODS VEHICLE,0
KA,2016-12-01,HEAVY MOTOR VEHICLE,0
KA,2016-12-01,HEAVY PASSENGER VEHICLE,0
KA,2016-12-01,LIGHT GOODS VEHICLE,0
KA,2016-12-01,LIGHT MOTOR VEHICLE,8
KA,2016-12-01,LIGHT PASSENGER VEHICLE,0
KA,2016-12-01,MEDIUM GOODS VEHICLE,0
KA,2016-12-01,MEDIUM MOTOR VEHICLE,0
KA,2016-12-01,MEDIUM PASSENGER VEHICLE,0
KA,2016-12-01,OTHER THAN MENTIONED ABOVE,0
KA,2016-12-01,THREE WHEELER (Invalid Carriage),0
KA,2016-12-01,THREE WHEELER(NT),0
KA,2016-12-01,THREE WHEELER(T),0
KA,2016-12-01,TWO WHEELER (Invalid Carriage),0
KA,2016-12-01,TWO WHEELER(NT),1
KA,2016-12-01,TWO WHEELER(T),0
KA,2017-01-01,FOUR WHEELER (Invalid Carriage),0
KA,2017-01-01,HEAVY GOODS VEHICLE,0
KA,2017-01-01,HEAVY MOTOR VEHICLE,0
KA,2017-01-01,HEAVY PASSENGER VEHICLE,0
KA,2017-01-01,LIGHT GOODS VEHICLE,0
KA,2017-01-01,LIGHT MOTOR VEHICLE,24
KA,2017-01-01,LIGHT PASSENGER VEHICLE,0
KA,2017-01-01,MEDIUM GOODS VEHICLE,0
KA,2017-01-01,MEDIUM MOTOR VEHICLE,0
KA,2017-01-01,MEDIUM PASSENGER VEHICLE,0
KA,2017-01-01,OTHER THAN MENTIONED ABOVE,0
KA,2017-01-01,THREE WHEELER (Invalid Carriage),0
KA,2017-01-01,THREE WHEELER(NT),0
KA,2017-01-01,THREE WHEELER(T),1
KA,2017-01-01,TWO WHEELER (Invalid Carriage),0
KA,2017-01-01,TWO WHEELER(NT),3
KA,2017-01-01,TWO WHEELER(T),0
